x,y
1.0,-2.2987863592782327
2.0,-10.09292105187356
3.0,-19.44678197079505
4.0,-30.670864247369824
5.0,-38.834828693290795
6.0,-49.59785137324817
7.0,-59.45484611102456
8.0,-70.03418610317837
9.0,-80.21717585112002
10.0,-89.39920452719507
11.0,-98.01196681204793
12.0,-110.0217225623757
13.0,-122.36829445353314
14.0,-130.54693078827768
15.0,-139.11190107415987
16.0,-149.22520337700138
17.0,-160.08642139950274
18.0,-169.39068623661493
19.0,-179.04006099653333
20.0,-191.31256394160638
21.0,-201.80165029346253
22.0,-209.53642836090458
23.0,-220.7792940038524
24.0,-228.83732235787673
25.0,-239.5229933713984
26.0,-251.08876860989858
27.0,-258.9932831470584
28.0,-270.71342674003137
29.0,-281.7346129422893
30.0,-290.04094407481284
31.0,-299.6836060437125
32.0,-311.5070486026805
33.0,-319.27315900805127
34.0,-330.73117787902294
35.0,-340.62040203839615
36.0,-350.2337662919432
37.0,-360.46562929151776
38.0,-370.4354981946669
39.0,-377.4855831197569
40.0,-389.206885659068
41.0,-400.37600325303214
42.0,-410.3416045286356
43.0,-420.90659984821923
44.0,-430.6712471815333
45.0,-440.06251222647023
46.0,-448.9342933126046
47.0,-461.006150440747
48.0,-470.5337701554782
49.0,-479.426724832513
50.0,-489.04337523164
51.0,-500.37953638269556
52.0,-510.88684373223344
53.0,-521.6979512300431
54.0,-530.342377163428
55.0,-541.5861606017313
56.0,-550.5556161800764
57.0,-561.7416601983267
58.0,-571.8807844076314
59.0,-579.8536227232604
60.0,-588.4298769213524
61.0,-602.1501647397471
62.0,-609.3704566342368
63.0,-622.3820108427699
64.0,-630.5478839888756
65.0,-639.75461035968
66.0,-649.2016451411937
67.0,-661.1903227918142
68.0,-669.8456105474379
69.0,-680.6643215841751
70.0,-690.8059100422487
71.0,-701.2650862193071
72.0,-707.828415230029
73.0,-721.9169523266975
74.0,-729.1225736823073
75.0,-741.060219977251
76.0,-749.8564408344657
77.0,-759.5038663571254
78.0,-768.849269070927
79.0,-780.6426503595585
80.0,-791.2871092716871
81.0,-799.1603164402643
82.0,-809.3666259765962
83.0,-820.3420280878152
84.0,-830.7221098993938
85.0,-839.5762696270491
86.0,-849.7755423684234
87.0,-858.793647346959
88.0,-870.7600007836965
89.0,-879.1766341051634
90.0,-891.49751889067
91.0,-899.3713316205684
92.0,-910.8817081769702
93.0,-920.4489670397271
94.0,-929.4431979050414
95.0,-939.1003062562427
96.0,-950.9865685609886
97.0,-960.6120545366163
98.0,-971.5281511526887
99.0,-978.4505150858104
100.0,-990.2096576824043
